description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
dz_w33	1			100	18	367	2		2	tors	w33						useitem				dz_w			-1	-1	ac%			30	50	red-dmg			45	85	res-all			15	25																																																																0
dz_w33	1			100	18	367	1		2	helm	w33						useitem				dz_w			-1	-1	ac%			30	50	red-dmg			45	85	res-all			15	25																																																																0
dz_w33	1			100	18	367	2		2	helm	w33						useitem				dz_w			-1	-1	ac%			30	50	red-dmg			45	85	res-all			15	25																																																																0
dz_w34	1			100	18	367	1		2	tors	w34						useitem				dz_w			-1	-1	ac			50	100	ac-miss			45	85	red-dmg			10	30																																																																0
dz_w34	1			100	18	367	2		2	tors	w34						useitem				dz_w			-1	-1	ac			50	100	ac-miss			45	85	red-dmg			10	30																																																																0
dz_w34	1			100	18	367	1		2	boot	w34						useitem				dz_w			-1	-1	ac			50	100	ac-miss			45	85	red-dmg			10	30																																																																0
dz_w34	1			100	18	367	2		2	boot	w34						useitem				dz_w			-1	-1	ac			50	100	ac-miss			45	85	red-dmg			10	30																																																																0
dz_w35	1			100	18	367	1		2	tors	w35						useitem				dz_w			-1	-1	ac			80	200	ac-miss			25	50	red-dmg			25	50																																																																0
dz_w35	1			100	18	367	2		2	tors	w35						useitem				dz_w			-1	-1	ac			80	200	ac-miss			25	50	red-dmg			25	50																																																																0
dz_w35	1			100	18	367	1		2	boot	w35						useitem				dz_w			-1	-1	ac			80	200	ac-miss			25	50	red-dmg			25	50																																																																0
dz_w35	1			100	18	367	2		2	boot	w35						useitem				dz_w			-1	-1	ac			80	200	ac-miss			25	50	red-dmg			25	50																																																																0
dz_w36	1			100	18	367	1		2	tors	w36						useitem				dz_w			-1	-1	ac%			40	75	ac-miss			50	100	red-dmg%			5	10																																																																0
dz_w36	1			100	18	367	2		2	tors	w36						useitem				dz_w			-1	-1	ac%			40	75	ac-miss			50	100	red-dmg%			5	10																																																																0
dz_w36	1			100	18	367	1		2	boot	w36						useitem				dz_w			-1	-1	ac%			40	75	ac-miss			50	100	red-dmg%			5	10																																																																0
dz_w36	1			100	18	367	2		2	boot	w36						useitem				dz_w			-1	-1	ac%			40	75	ac-miss			50	100	red-dmg%			5	10																																																																0
dz_w37	1			100	18	367	1		2	tors	w37						useitem				dz_w			-1	-1	res-all			5	10	res-mag			5	10	res-all-max			3	5																																																																0
dz_w37	1			100	18	367	2		2	tors	w37						useitem				dz_w			-1	-1	res-all			5	10	res-mag			5	10	res-all-max			3	5																																																																0
dz_w37	1			100	18	367	1		2	shld	w37						useitem				dz_w			-1	-1	res-all			5	10	res-mag			5	10	res-all-max			3	5																																																																0
dz_w37	1			100	18	367	2		2	shld	w37						useitem				dz_w			-1	-1	res-all			5	10	res-mag			5	10	res-all-max			3	5																																																																0
dz_w38	1			100	18	367	1		2	tors	w38						useitem				dz_w			-1	-1	res-all			10	20	res-mag			10	20	res-all-max			5	8																																																																0
dz_w38	1			100	18	367	2		2	tors	w38						useitem				dz_w			-1	-1	res-all			10	20	res-mag			10	20	res-all-max			5	8																																																																0
dz_w38	1			100	18	367	1		2	shld	w38						useitem				dz_w			-1	-1	res-all			10	20	res-mag			10	20	res-all-max			5	8																																																																0
dz_w38	1			100	18	367	2		2	shld	w38						useitem				dz_w			-1	-1	res-all			10	20	res-mag			10	20	res-all-max			5	8																																																																0
dz_w39	1			100	18	367	1		2	tors	w39						useitem				dz_w			-1	-1	res-all			15	25	res-mag			15	25	res-all-max			8	15																																																																0
dz_w39	1			100	18	367	2		2	tors	w39						useitem				dz_w			-1	-1	res-all			15	25	res-mag			15	25	res-all-max			8	15																																																																0
dz_w39	1			100	18	367	1		2	shld	w39						useitem				dz_w			-1	-1	res-all			15	25	res-mag			15	25	res-all-max			8	15																																																																0
dz_w39	1			100	18	367	2		2	shld	w39						useitem				dz_w			-1	-1	res-all			15	25	res-mag			15	25	res-all-max			8	15																																																																0
dz_w40	1			100	18	367	1		2	boot	w40						useitem				dz_w			-1	-1	balance2			5	10	block2			5	10	move2			5	10																																																																0
dz_w40	1			100	18	367	2		2	boot	w40						useitem				dz_w			-1	-1	balance2			5	10	block2			5	10	move2			5	10																																																																0
dz_w40	1			100	18	367	1		2	belt	w40						useitem				dz_w			-1	-1	balance2			5	10	block2			5	10	move2			5	10																																																																0
dz_w40	1			100	18	367	2		2	belt	w40						useitem				dz_w			-1	-1	balance2			5	10	block2			5	10	move2			5	10																																																																0
dz_w41	1			100	18	367	1		2	boot	w41						useitem				dz_w			-1	-1	balance2			8	15	block2			8	15	move2			8	15																																																																0
dz_w41	1			100	18	367	2		2	boot	w41						useitem				dz_w			-1	-1	balance2			8	15	block2			8	15	move2			8	15																																																																0
dz_w41	1			100	18	367	1		2	belt	w41						useitem				dz_w			-1	-1	balance2			8	15	block2			8	15	move2			8	15																																																																0
dz_w41	1			100	18	367	2		2	belt	w41						useitem				dz_w			-1	-1	balance2			8	15	block2			8	15	move2			8	15																																																																0
dz_w42	1			100	18	367	1		2	boot	w42						useitem				dz_w			-1	-1	balance2			15	25	block2			15	25	move2			15	25																																																																0
dz_w42	1			100	18	367	2		2	boot	w42						useitem				dz_w			-1	-1	balance2			15	25	block2			15	25	move2			15	25																																																																0
dz_w42	1			100	18	367	1		2	belt	w42						useitem				dz_w			-1	-1	balance2			15	25	block2			15	25	move2			15	25																																																																0
dz_w42	1			100	18	367	2		2	belt	w42						useitem				dz_w			-1	-1	balance2			15	25	block2			15	25	move2			15	25																																																																0
dz_w43	1			100	18	367	1		2	shld	w43						useitem				dz_w			-1	-1	block2			5	10	block			5	10	ac			50	100																																																																0
dz_w43	1			100	18	367	2		2	shld	w43						useitem				dz_w			-1	-1	block2			5	10	block			5	10	ac			50	100																																																																0
dz_w44	1			100	18	367	1		2	shld	w44						useitem				dz_w			-1	-1	block2			8	15	block			8	15	ac			80	200																																																																0
dz_w44	1			100	18	367	2		2	shld	w44						useitem				dz_w			-1	-1	block2			8	15	block			8	15	ac			80	200																																																																0
dz_w45	1			100	18	367	1		2	shld	w45						useitem				dz_w			-1	-1	block2			15	25	block			15	25	ac%			30	50																																																																0
dz_w45	1			100	18	367	2		2	shld	w45						useitem				dz_w			-1	-1	block2			15	25	block			15	25	ac%			30	50																																																																0
dz_w46	1			100	18	367	1		2	helm	w46						useitem				dz_w			-1	-1	hp			40	80	mana			20	30	regen			5	10																																																																0
dz_w46	1			100	18	367	2		2	helm	w46						useitem				dz_w			-1	-1	hp			40	80	mana			20	30	regen			5	10																																																																0
dz_w46	1			100	18	367	1		2	belt	w46						useitem				dz_w			-1	-1	hp			40	80	mana			20	30	regen			5	10																																																																0
dz_w46	1			100	18	367	2		2	belt	w46						useitem				dz_w			-1	-1	hp			40	80	mana			20	30	regen			5	10																																																																0
dz_w47	1			100	18	367	1		2	helm	w47						useitem				dz_w			-1	-1	hp			70	120	mana			40	60	regen			10	20																																																																0
dz_w47	1			100	18	367	2		2	helm	w47						useitem				dz_w			-1	-1	hp			70	120	mana			40	60	regen			10	20																																																																0
dz_w47	1			100	18	367	1		2	belt	w47						useitem				dz_w			-1	-1	hp			70	120	mana			40	60	regen			10	20																																																																0
dz_w47	1			100	18	367	2		2	belt	w47						useitem				dz_w			-1	-1	hp			70	120	mana			40	60	regen			10	20																																																																0
dz_w48	1			100	18	367	1		2	helm	w48						useitem				dz_w			-1	-1	hp			120	200	mana			60	80	hp%			10	20																																																																0
dz_w48	1			100	18	367	2		2	helm	w48						useitem				dz_w			-1	-1	hp			120	200	mana			60	80	hp%			10	20																																																																0
dz_w48	1			100	18	367	1		2	belt	w48						useitem				dz_w			-1	-1	hp			120	200	mana			60	80	hp%			10	20																																																																0
dz_w48	1			100	18	367	2		2	belt	w48						useitem				dz_w			-1	-1	hp			120	200	mana			60	80	hp%			10	20																																																																0
dz_w49	1			100	18	367	1		2	tors	w49						useitem				dz_w			-1	-1	all-stats			5	15	hp%			5	10	mana%			5	10																																																																0
dz_w49	1			100	18	367	2		2	tors	w49						useitem				dz_w			-1	-1	all-stats			5	15	hp%			5	10	mana%			5	10																																																																0
dz_w49	1			100	18	367	1		2	helm	w49						useitem				dz_w			-1	-1	all-stats			5	15	hp%			5	10	mana%			5	10																																																																0
dz_w49	1			100	18	367	2		2	helm	w49						useitem				dz_w			-1	-1	all-stats			5	15	hp%			5	10	mana%			5	10																																																																0
dz_w50	1			100	18	367	1		2	tors	w50						useitem				dz_w			-1	-1	all-stats			10	20	hp%			8	15	mana%			8	15																																																																0
dz_w50	1			100	18	367	2		2	tors	w50						useitem				dz_w			-1	-1	all-stats			10	20	hp%			8	15	mana%			8	15																																																																0
dz_w50	1			100	18	367	1		2	helm	w50						useitem				dz_w			-1	-1	all-stats			10	20	hp%			8	15	mana%			8	15																																																																0
dz_w50	1			100	18	367	2		2	helm	w50						useitem				dz_w			-1	-1	all-stats			10	20	hp%			8	15	mana%			8	15																																																																0
dz_w51	1			100	18	367	1		2	tors	w51						useitem				dz_w			-1	-1	all-stats			20	35	hp%			15	25	mana%			15	25																																																																0
dz_w51	1			100	18	367	2		2	tors	w51						useitem				dz_w			-1	-1	all-stats			20	35	hp%			15	25	mana%			15	25																																																																0
dz_w51	1			100	18	367	1		2	helm	w51						useitem				dz_w			-1	-1	all-stats			20	35	hp%			15	25	mana%			15	25																																																																0
dz_w51	1			100	18	367	2		2	helm	w51						useitem				dz_w			-1	-1	all-stats			20	35	hp%			15	25	mana%			15	25																																																																0
dz_w52	1			100	18	367	1		2	tors	w52						useitem				dz_w			-1	-1	abs-fire			5	15	abs-cold			5	15	abs-ltng			5	15																																																																0
dz_w52	1			100	18	367	2		2	tors	w52						useitem				dz_w			-1	-1	abs-fire			5	15	abs-cold			5	15	abs-ltng			5	15																																																																0
dz_w52	1			100	18	367	1		2	shld	w52						useitem				dz_w			-1	-1	abs-fire			5	15	abs-cold			5	15	abs-ltng			5	15																																																																0
dz_w52	1			100	18	367	2		2	shld	w52						useitem				dz_w			-1	-1	abs-fire			5	15	abs-cold			5	15	abs-ltng			5	15																																																																0
dz_w53	1			100	18	367	1		2	tors	w53						useitem				dz_w			-1	-1	abs-fire			15	35	abs-cold			15	35	abs-ltng			15	35																																																																0
dz_w53	1			100	18	367	2		2	tors	w53						useitem				dz_w			-1	-1	abs-fire			15	35	abs-cold			15	35	abs-ltng			15	35																																																																0
dz_w53	1			100	18	367	1		2	shld	w53						useitem				dz_w			-1	-1	abs-fire			15	35	abs-cold			15	35	abs-ltng			15	35																																																																0
dz_w53	1			100	18	367	2		2	shld	w53						useitem				dz_w			-1	-1	abs-fire			15	35	abs-cold			15	35	abs-ltng			15	35																																																																0
dz_w54	1			100	18	367	1		2	tors	w54						useitem				dz_w			-1	-1	abs-fire%			10	20	abs-cold%			10	20	abs-ltng%			10	20																																																																0
dz_w54	1			100	18	367	2		2	tors	w54						useitem				dz_w			-1	-1	abs-fire%			10	20	abs-cold%			10	20	abs-ltng%			10	20																																																																0
dz_w54	1			100	18	367	1		2	shld	w54						useitem				dz_w			-1	-1	abs-fire%			10	20	abs-cold%			10	20	abs-ltng%			10	20																																																																0
dz_w54	1			100	18	367	2		2	shld	w54						useitem				dz_w			-1	-1	abs-fire%			10	20	abs-cold%			10	20	abs-ltng%			10	20																																																																0
dz_w61	1			100	18	367	1		2	armo	w61						useitem				dz_w			-1	-1	mag%			10	20	gold%			15	25																																																																					0
dz_w61	1			100	18	367	2		2	armo	w61						useitem				dz_w			-1	-1	mag%			10	20	gold%			15	25																																																																					0
dz_w61	1			100	18	367	1		2	rin	w61						useitem				dz_w			-1	-1	mag%			10	20	gold%			15	25																																																																					0
dz_w61	1			100	18	367	2		2	rin	w61						useitem				dz_w			-1	-1	mag%			10	20	gold%			15	25																																																																					0
dz_w62	1			100	18	367	1		2	armo	w62						useitem				dz_w			-1	-1	mag%			15	35	gold%			25	45																																																																					0
dz_w62	1			100	18	367	2		2	armo	w62						useitem				dz_w			-1	-1	mag%			15	35	gold%			25	45																																																																					0
dz_w62	1			100	18	367	1		2	rin	w62						useitem				dz_w			-1	-1	mag%			15	35	gold%			25	45																																																																					0
dz_w62	1			100	18	367	2		2	rin	w62						useitem				dz_w			-1	-1	mag%			15	35	gold%			25	45																																																																					0
dz_w63	1			100	18	367	1		2	armo	w63						useitem				dz_w			-1	-1	mag%			30	50	gold%			40	65	cheap			2	5																																																																0
dz_w63	1			100	18	367	2		2	armo	w63						useitem				dz_w			-1	-1	mag%			30	50	gold%			40	65	cheap			2	5																																																																0
dz_w63	1			100	18	367	1		2	rin	w63						useitem				dz_w			-1	-1	mag%			30	50	gold%			40	65	cheap			2	5																																																																0
dz_w63	1			100	18	367	2		2	rin	w63						useitem				dz_w			-1	-1	mag%			30	50	gold%			40	65	cheap			2	5																																																																0
dz_w64	1			100	18	367	1		2	glov	w64						useitem				dz_w			-1	-1	swing2			5	10	cast2			5	10	move2			5	10																																																																0
dz_w64	1			100	18	367	2		2	glov	w64						useitem				dz_w			-1	-1	swing2			5	10	cast2			5	10	move2			5	10																																																																0
dz_w64	1			100	18	367	1		2	boot	w64						useitem				dz_w			-1	-1	swing2			5	10	cast2			5	10	move2			5	10																																																																0
dz_w64	1			100	18	367	2		2	boot	w64						useitem				dz_w			-1	-1	swing2			5	10	cast2			5	10	move2			5	10																																																																0
dz_w64	1			100	18	367	1		2	belt	w64						useitem				dz_w			-1	-1	swing2			5	10	cast2			5	10	move2			5	10																																																																0
dz_w64	1			100	18	367	2		2	belt	w64						useitem				dz_w			-1	-1	swing2			5	10	cast2			5	10	move2			5	10																																																																0
dz_w65	1			100	18	367	1		2	glov	w65						useitem				dz_w			-1	-1	swing2			8	15	cast2			8	15	move2			8	15																																																																0
dz_w65	1			100	18	367	2		2	glov	w65						useitem				dz_w			-1	-1	swing2			8	15	cast2			8	15	move2			8	15																																																																0
dz_w65	1			100	18	367	1		2	boot	w65						useitem				dz_w			-1	-1	swing2			8	15	cast2			8	15	move2			8	15																																																																0
dz_w65	1			100	18	367	2		2	boot	w65						useitem				dz_w			-1	-1	swing2			8	15	cast2			8	15	move2			8	15																																																																0
dz_w65	1			100	18	367	1		2	belt	w65						useitem				dz_w			-1	-1	swing2			8	15	cast2			8	15	move2			8	15																																																																0
dz_w65	1			100	18	367	2		2	belt	w65						useitem				dz_w			-1	-1	swing2			8	15	cast2			8	15	move2			8	15																																																																0
dz_w66	1			100	18	367	1		2	glov	w66						useitem				dz_w			-1	-1	swing2			15	30	cast2			15	30	move2			15	30																																																																0
dz_w66	1			100	18	367	2		2	glov	w66						useitem				dz_w			-1	-1	swing2			15	30	cast2			15	30	move2			15	30																																																																0
dz_w66	1			100	18	367	1		2	boot	w66						useitem				dz_w			-1	-1	swing2			15	30	cast2			15	30	move2			15	30																																																																0
dz_w66	1			100	18	367	2		2	boot	w66						useitem				dz_w			-1	-1	swing2			15	30	cast2			15	30	move2			15	30																																																																0
dz_w66	1			100	18	367	1		2	belt	w66						useitem				dz_w			-1	-1	swing2			15	30	cast2			15	30	move2			15	30																																																																0
dz_w66	1			100	18	367	2		2	belt	w66						useitem				dz_w			-1	-1	swing2			15	30	cast2			15	30	move2			15	30																																																																0
dz_w67	1			100	18	367	1		2	weap	w67						useitem				dz_w			-1	-1	dmg-ltng			10	50	extra-ltng			5	10	cast2			5	10																																																																0
dz_w67	1			100	18	367	2		2	weap	w67						useitem				dz_w			-1	-1	dmg-ltng			10	50	extra-ltng			5	10	cast2			5	10																																																																0
dz_w67	1			100	18	367	1		2	rin	w67						useitem				dz_w			-1	-1	dmg-ltng			10	50	extra-ltng			5	10	cast2			5	10																																																																0
dz_w67	1			100	18	367	2		2	rin	w67						useitem				dz_w			-1	-1	dmg-ltng			10	50	extra-ltng			5	10	cast2			5	10																																																																0
dz_w67	1			100	18	367	1		2	amu	w67						useitem				dz_w			-1	-1	dmg-ltng			10	50	extra-ltng			5	10	cast2			5	10																																																																0
dz_w67	1			100	18	367	2		2	amu	w67						useitem				dz_w			-1	-1	dmg-ltng			10	50	extra-ltng			5	10	cast2			5	10																																																																0
dz_w68	1			100	18	367	1		2	weap	w68						useitem				dz_w			-1	-1	dmg-ltng			40	100	extra-ltng			8	15	cast2			8	15																																																																0
dz_w68	1			100	18	367	2		2	weap	w68						useitem				dz_w			-1	-1	dmg-ltng			40	100	extra-ltng			8	15	cast2			8	15																																																																0
dz_w68	1			100	18	367	1		2	rin	w68						useitem				dz_w			-1	-1	dmg-ltng			40	100	extra-ltng			8	15	cast2			8	15																																																																0
dz_w68	1			100	18	367	2		2	rin	w68						useitem				dz_w			-1	-1	dmg-ltng			40	100	extra-ltng			8	15	cast2			8	15																																																																0
dz_w68	1			100	18	367	1		2	amu	w68						useitem				dz_w			-1	-1	dmg-ltng			40	100	extra-ltng			8	15	cast2			8	15																																																																0
dz_w68	1			100	18	367	2		2	amu	w68						useitem				dz_w			-1	-1	dmg-ltng			40	100	extra-ltng			8	15	cast2			8	15																																																																0
dz_w69	1			100	18	367	1		2	weap	w69						useitem				dz_w			-1	-1	pierce-ltng			10	20	extra-ltng			15	25	cast2			15	25																																																																0
dz_w69	1			100	18	367	2		2	weap	w69						useitem				dz_w			-1	-1	pierce-ltng			10	20	extra-ltng			15	25	cast2			15	25																																																																0
dz_w69	1			100	18	367	1		2	rin	w69						useitem				dz_w			-1	-1	pierce-ltng			10	20	extra-ltng			15	25	cast2			15	25																																																																0
dz_w69	1			100	18	367	2		2	rin	w69						useitem				dz_w			-1	-1	pierce-ltng			10	20	extra-ltng			15	25	cast2			15	25																																																																0
dz_w69	1			100	18	367	1		2	amu	w69						useitem				dz_w			-1	-1	pierce-ltng			10	20	extra-ltng			15	25	cast2			15	25																																																																0
dz_w69	1			100	18	367	2		2	amu	w69						useitem				dz_w			-1	-1	pierce-ltng			10	20	extra-ltng			15	25	cast2			15	25																																																																0
dz_w70	1			100	18	367	1		2	weap	w70						useitem				dz_w			-1	-1	dmg-cold			5	15	extra-cold			5	10	swing2			5	10																																																																0
dz_w70	1			100	18	367	2		2	weap	w70						useitem				dz_w			-1	-1	dmg-cold			5	15	extra-cold			5	10	swing2			5	10																																																																0
dz_w70	1			100	18	367	1		2	rin	w70						useitem				dz_w			-1	-1	dmg-cold			5	15	extra-cold			5	10	swing2			5	10																																																																0
dz_w70	1			100	18	367	2		2	rin	w70						useitem				dz_w			-1	-1	dmg-cold			5	15	extra-cold			5	10	swing2			5	10																																																																0
dz_w70	1			100	18	367	1		2	amu	w70						useitem				dz_w			-1	-1	dmg-cold			5	15	extra-cold			5	10	swing2			5	10																																																																0
dz_w70	1			100	18	367	2		2	amu	w70						useitem				dz_w			-1	-1	dmg-cold			5	15	extra-cold			5	10	swing2			5	10																																																																0
dz_w71	1			100	18	367	1		2	weap	w71						useitem				dz_w			-1	-1	dmg-cold			15	45	extra-cold			8	15	swing2			8	15																																																																0
dz_w71	1			100	18	367	2		2	weap	w71						useitem				dz_w			-1	-1	dmg-cold			15	45	extra-cold			8	15	swing2			8	15																																																																0
dz_w71	1			100	18	367	1		2	rin	w71						useitem				dz_w			-1	-1	dmg-cold			15	45	extra-cold			8	15	swing2			8	15																																																																0
dz_w71	1			100	18	367	2		2	rin	w71						useitem				dz_w			-1	-1	dmg-cold			15	45	extra-cold			8	15	swing2			8	15																																																																0
dz_w71	1			100	18	367	1		2	amu	w71						useitem				dz_w			-1	-1	dmg-cold			15	45	extra-cold			8	15	swing2			8	15																																																																0
dz_w71	1			100	18	367	2		2	amu	w71						useitem				dz_w			-1	-1	dmg-cold			15	45	extra-cold			8	15	swing2			8	15																																																																0
dz_w72	1			100	18	367	1		2	weap	w72						useitem				dz_w			-1	-1	pierce-cold			10	20	extra-cold			15	25	cast2			15	25																																																																0
dz_w72	1			100	18	367	2		2	weap	w72						useitem				dz_w			-1	-1	pierce-cold			10	20	extra-cold			15	25	cast2			15	25																																																																0
dz_w72	1			100	18	367	1		2	rin	w72						useitem				dz_w			-1	-1	pierce-cold			10	20	extra-cold			15	25	cast2			15	25																																																																0
dz_w72	1			100	18	367	2		2	rin	w72						useitem				dz_w			-1	-1	pierce-cold			10	20	extra-cold			15	25	cast2			15	25																																																																0
dz_w72	1			100	18	367	1		2	amu	w72						useitem				dz_w			-1	-1	pierce-cold			10	20	extra-cold			15	25	cast2			15	25																																																																0
dz_w72	1			100	18	367	2		2	amu	w72						useitem				dz_w			-1	-1	pierce-cold			10	20	extra-cold			15	25	cast2			15	25																																																																0
dz_w73	1			100	18	367	1		2	weap	w73						useitem				dz_w			-1	-1	abs-fire			5	15	res-fire			5	10	extra-fire			5	10																																																																0
dz_w73	1			100	18	367	2		2	weap	w73						useitem				dz_w			-1	-1	abs-fire			5	15	res-fire			5	10	extra-fire			5	10																																																																0
dz_w73	1			100	18	367	1		2	rin	w73						useitem				dz_w			-1	-1	abs-fire			5	15	res-fire			5	10	extra-fire			5	10																																																																0
dz_w73	1			100	18	367	2		2	rin	w73						useitem				dz_w			-1	-1	abs-fire			5	15	res-fire			5	10	extra-fire			5	10																																																																0
dz_w73	1			100	18	367	1		2	amu	w73						useitem				dz_w			-1	-1	abs-fire			5	15	res-fire			5	10	extra-fire			5	10																																																																0
dz_w73	1			100	18	367	2		2	amu	w73						useitem				dz_w			-1	-1	abs-fire			5	15	res-fire			5	10	extra-fire			5	10																																																																0
dz_w74	1			100	18	367	1		2	weap	w74						useitem				dz_w			-1	-1	abs-fire			15	45	res-fire			8	15	extra-fire			8	15																																																																0
dz_w74	1			100	18	367	2		2	weap	w74						useitem				dz_w			-1	-1	abs-fire			15	45	res-fire			8	15	extra-fire			8	15																																																																0
dz_w74	1			100	18	367	1		2	rin	w74						useitem				dz_w			-1	-1	abs-fire			15	45	res-fire			8	15	extra-fire			8	15																																																																0
dz_w74	1			100	18	367	2		2	rin	w74						useitem				dz_w			-1	-1	abs-fire			15	45	res-fire			8	15	extra-fire			8	15																																																																0
dz_w74	1			100	18	367	1		2	amu	w74						useitem				dz_w			-1	-1	abs-fire			15	45	res-fire			8	15	extra-fire			8	15																																																																0
dz_w74	1			100	18	367	2		2	amu	w74						useitem				dz_w			-1	-1	abs-fire			15	45	res-fire			8	15	extra-fire			8	15																																																																0
dz_w75	1			100	18	367	1		2	weap	w75						useitem				dz_w			-1	-1	abs-fire%			10	20	pierce-fire			10	20	extra-fire			15	25																																																																0
dz_w75	1			100	18	367	2		2	weap	w75						useitem				dz_w			-1	-1	abs-fire%			10	20	pierce-fire			10	20	extra-fire			15	25																																																																0
dz_w75	1			100	18	367	1		2	rin	w75						useitem				dz_w			-1	-1	abs-fire%			10	20	pierce-fire			10	20	extra-fire			15	25																																																																0
dz_w75	1			100	18	367	2		2	rin	w75						useitem				dz_w			-1	-1	abs-fire%			10	20	pierce-fire			10	20	extra-fire			15	25																																																																0
dz_w75	1			100	18	367	1		2	amu	w75						useitem				dz_w			-1	-1	abs-fire%			10	20	pierce-fire			10	20	extra-fire			15	25																																																																0
dz_w75	1			100	18	367	2		2	amu	w75						useitem				dz_w			-1	-1	abs-fire%			10	20	pierce-fire			10	20	extra-fire			15	25																																																																0
dz_w76	1			100	18	367	1		2	weap	w76						useitem				dz_w			-1	-1	dmg-pois			20	55	res-pois-len			10	15	extra-pois			10	15																																																																0
dz_w76	1			100	18	367	2		2	weap	w76						useitem				dz_w			-1	-1	dmg-pois			20	55	res-pois-len			10	15	extra-pois			10	15																																																																0
dz_w76	1			100	18	367	1		2	rin	w76						useitem				dz_w			-1	-1	dmg-pois			20	55	res-pois-len			10	15	extra-pois			10	15																																																																0
dz_w76	1			100	18	367	2		2	rin	w76						useitem				dz_w			-1	-1	dmg-pois			20	55	res-pois-len			10	15	extra-pois			10	15																																																																0
dz_w76	1			100	18	367	1		2	amu	w76						useitem				dz_w			-1	-1	dmg-pois			20	55	res-pois-len			10	15	extra-pois			10	15																																																																0
dz_w76	1			100	18	367	2		2	amu	w76						useitem				dz_w			-1	-1	dmg-pois			20	55	res-pois-len			10	15	extra-pois			10	15																																																																0
dz_w77	1			100	18	367	1		2	weap	w77						useitem				dz_w			-1	-1	dmg-pois			65	135	res-pois-len			15	25	extra-pois			8	20																																																																0
dz_w77	1			100	18	367	2		2	weap	w77						useitem				dz_w			-1	-1	dmg-pois			65	135	res-pois-len			15	25	extra-pois			8	20																																																																0
dz_w77	1			100	18	367	1		2	rin	w77						useitem				dz_w			-1	-1	dmg-pois			65	135	res-pois-len			15	25	extra-pois			8	20																																																																0
dz_w77	1			100	18	367	2		2	rin	w77						useitem				dz_w			-1	-1	dmg-pois			65	135	res-pois-len			15	25	extra-pois			8	20																																																																0
dz_w77	1			100	18	367	1		2	amu	w77						useitem				dz_w			-1	-1	dmg-pois			65	135	res-pois-len			15	25	extra-pois			8	20																																																																0
dz_w77	1			100	18	367	2		2	amu	w77						useitem				dz_w			-1	-1	dmg-pois			65	135	res-pois-len			15	25	extra-pois			8	20																																																																0
dz_w78	1			100	18	367	1		2	weap	w78						useitem				dz_w			-1	-1	pierce-pois			10	20	res-pois-len			25	45	extra-pois			15	25																																																																0
dz_w78	1			100	18	367	2		2	weap	w78						useitem				dz_w			-1	-1	pierce-pois			10	20	res-pois-len			25	45	extra-pois			15	25																																																																0
dz_w78	1			100	18	367	1		2	rin	w78						useitem				dz_w			-1	-1	pierce-pois			10	20	res-pois-len			25	45	extra-pois			15	25																																																																0
dz_w78	1			100	18	367	2		2	rin	w78						useitem				dz_w			-1	-1	pierce-pois			10	20	res-pois-len			25	45	extra-pois			15	25																																																																0
dz_w78	1			100	18	367	1		2	amu	w78						useitem				dz_w			-1	-1	pierce-pois			10	20	res-pois-len			25	45	extra-pois			15	25																																																																0
dz_w78	1			100	18	367	2		2	amu	w78						useitem				dz_w			-1	-1	pierce-pois			10	20	res-pois-len			25	45	extra-pois			15	25																																																																0
dz_w79	1			100	18	367	1		2	weap	w79						useitem				dz_w			-1	-1	allskills			1	1	dur			25	50	regen-stam			20	50																																																																0
dz_w79	1			100	18	367	2		2	weap	w79						useitem				dz_w			-1	-1	allskills			1	1	dur			25	50	regen-stam			20	50																																																																0
dz_w79	1			100	18	367	1		2	rin	w79						useitem				dz_w			-1	-1	allskills			1	1	dur			25	50	regen-stam			20	50																																																																0
dz_w79	1			100	18	367	2		2	rin	w79						useitem				dz_w			-1	-1	allskills			1	1	dur			25	50	regen-stam			20	50																																																																0
dz_w79	1			100	18	367	1		2	amu	w79						useitem				dz_w			-1	-1	allskills			1	1	dur			25	50	regen-stam			20	50																																																																0
